"Expenditure by function £ million","","2009/10","2010/11 1"
"Policy functions","Financial","22.5","30.57"
"","Information 2","10.2","14.8"
"","Contingency","2.6","1.2"
"Remunerated functions","Agency services 3","44.7","35.91"
"","Payments","22.41","19.88"
"","Banking","22.90","44.23"
"","Other","12.69","10.32"
